zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,0,0,1,0.6931471805599453,3.4339872044851463,6.55250788703459
1,0,0,0,1.0986122886681096,4.110873864173311,6.803505257608338
1,0,0,0,0.6931471805599453,5.707110264748875,8.922791623969637
0,0,1,0,1.3862943611198906,4.875197323201151,8.006700845440367
0,0,1,0,1.3862943611198906,5.111987788356544,7.824445930877619
1,0,0,0,1.3862943611198906,5.69035945432406,8.160803920954665
0,0,1,0,1.0986122886681096,4.394449154672439,7.972810784121404
0,0,1,0,1.0986122886681096,4.844187086458591,8.517393171418904
0,0,0,1,1.0986122886681096,6.008813185442595,9.105090961257085
0,1,0,0,0.6931471805599453,4.394449154672439,6.90875477931522
0,0,1,0,1.0986122886681096,6.054439346269371,10.165890277802454
1,0,0,0,1.0986122886681096,4.189654742026425,7.313886831633462
0,1,0,0,1.0986122886681096,4.51085950651685,6.55250788703459
0,1,0,0,1.3862943611198906,4.795790545596741,7.496097345175956
0,1,0,0,1.0986122886681096,4.795790545596741,8.294299608857235
0,0,0,1,1.0986122886681096,6.075346031088684,10.714439990727769
1,0,0,0,1.0986122886681096,4.709530201312334,8.006700845440367
0,1,0,0,1.0986122886681096,4.174387269895637,6.85751406254539
0,1,0,0,0.6931471805599453,3.713572066704308,6.85751406254539
0,1,0,0,1.0986122886681096,4.2626798770413155,7.313886831633462
1,0,0,0,1.0986122886681096,5.017279836814924,7.824445930877619
0,1,0,0,1.0986122886681096,4.110873864173311,7.313886831633462
0,1,0,0,0.6931471805599453,3.9318256327243257,6.478509642208569
0,0,0,1,1.3862943611198906,4.709530201312334,7.313886831633462
0,1,0,0,1.0986122886681096,4.2626798770413155,7.244941546337007
0,1,0,0,1.0986122886681096,4.61512051684126,7.496097345175956
0,1,0,0,1.0986122886681096,4.948759890378168,8.006700845440367
0,1,0,0,1.6094379124341003,5.993961427306569,8.881975184248867
0,1,0,0,1.0986122886681096,4.110873864173311,7.170888478512505
1,0,0,0,1.0986122886681096,4.61512051684126,7.696667081526462
0,1,0,0,1.3862943611198906,4.394449154672439,7.00397413672268
0,1,0,0,0.6931471805599453,3.258096538021482,6.111467339502679
0,1,0,0,1.3862943611198906,5.303304908059076,7.601402334583733
0,0,0,1,1.0986122886681096,3.58351893845611,7.313886831633462
0,0,0,1,1.0986122886681096,5.707110264748875,8.909370405197466
0,1,0,0,0.6931471805599453,5.081404364984463,6.55250788703459
1,0,0,0,1.0986122886681096,5.017279836814924,7.696667081526462
0,0,1,0,1.6094379124341003,5.831882477283517,8.546946149565585
0,0,0,1,1.0986122886681096,5.707110264748875,9.510519035757246
0,1,0,0,1.0986122886681096,5.017279836814924,8.160803920954665
0,0,1,0,1.3862943611198906,5.5254529391317835,8.412054873292933
0,0,1,0,1.6094379124341003,6.398594934535208,10.12667110305036
0,1,0,0,1.3862943611198906,4.61512051684126,7.741099090035366
0,0,0,1,1.6094379124341003,5.69035945432406,9.392745258631441
0,0,0,1,1.0986122886681096,4.110873864173311,7.601402334583733
1,0,0,0,1.0986122886681096,4.912654885736052,7.3783837129967145
0,0,1,0,0.6931471805599453,3.7612001156935624,6.90875477931522
