zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,0,1,0,1.3862943611198906,4.61512051684126,7.261225091971921
0,1,0,0,1.0986122886681096,4.2626798770413155,7.170888478512505
0,1,0,0,1.0986122886681096,5.017279836814924,7.937731775260109
1,0,0,0,1.3862943611198906,5.017279836814924,7.824445930877619
0,1,0,0,0.6931471805599453,3.4339872044851463,6.90875477931522
0,0,1,0,0.6931471805599453,4.356708826689592,7.438971592395862
0,0,1,0,0.6931471805599453,3.713572066704308,6.90875477931522
0,0,0,1,1.3862943611198906,5.056245805348308,8.922791623969637
0,1,0,0,1.0986122886681096,4.51085950651685,7.696667081526462
0,0,0,1,1.3862943611198906,5.780743515792329,9.305741456739435
0,0,1,0,2.3978952727983707,5.5254529391317835,9.61587214452889
0,1,0,0,0.6931471805599453,3.9318256327243257,6.90875477931522
0,1,0,0,0.6931471805599453,4.110873864173311,6.478509642208569
0,1,0,0,1.791759469228055,6.3473892096560105,9.105090961257085
1,0,0,0,2.772588722239781,5.717027701406222,9.61587214452889
0,1,0,0,0.6931471805599453,3.4339872044851463,6.398594934535208
1,0,0,0,1.0986122886681096,4.709530201312334,7.937731775260109
0,0,1,0,1.6094379124341003,5.993961427306569,8.922791623969637
0,0,0,1,1.791759469228055,6.175867270105761,8.922791623969637
0,1,0,0,1.3862943611198906,5.303304908059076,7.601402334583733
1,0,0,0,1.6094379124341003,5.5254529391317835,9.19023970026918
0,0,1,0,1.0986122886681096,5.231108616854587,9.305741456739435
0,1,0,0,0.6931471805599453,3.4339872044851463,6.803505257608338
0,0,0,1,1.0986122886681096,5.081404364984463,7.824445930877619
0,0,1,0,1.3862943611198906,4.795790545596741,8.517393171418904
0,0,1,0,1.0986122886681096,4.795790545596741,7.696667081526462
1,0,0,0,1.6094379124341003,5.303304908059076,8.006700845440367
1,0,0,0,0.6931471805599453,3.713572066704308,6.7464121285733745
0,1,0,0,1.0986122886681096,4.51085950651685,7.496097345175956
0,0,0,1,1.0986122886681096,6.398594934535208,11.918397239722838
1,0,0,0,1.0986122886681096,4.709530201312334,7.496097345175956
0,0,0,1,1.3862943611198906,4.941642422609304,7.824445930877619
